[2024-02-29] [18DF4FB255D] file:lpajsj_log.c line:62 debug:/home/lpajsj/linux/myapp/MAINCPP/Log
[2024-02-29] [18DF4FB255D] file:lpajsj_log.c line:136 debug:/home/lpajsj/linux/myapp/MAINCPP/Log
[2024-02-29] [18DF4FB255D] file:lpajsj_log.c line:80 debug:/home/lpajsj/linux/myapp/MAINCPP/Log/202402290000.txt
[2024-02-29] [18DF4FB255D] file:lpajsj_log.c line:136 debug:/home/lpajsj/linux/myapp/MAINCPP/Log
[2024-02-29] [18DF4FB25C2] file:main.cpp line:122 debug:test 1
[2024-02-29] [18DF4FB2626] file:main.cpp line:122 debug:test 2
[2024-02-29] [18DF4FB268B] file:main.cpp line:122 debug:test 3
[2024-02-29] [18DF4FB26F0] file:main.cpp line:122 debug:test 4
[2024-02-29] [18DF4FB2755] file:main.cpp line:122 debug:test 5
[2024-02-29] [18DF4FB27B9] file:main.cpp line:122 debug:test 6
[2024-02-29] [18DF4FB281E] file:main.cpp line:122 debug:test 7
[2024-02-29] [18DF4FB2883] file:main.cpp line:122 debug:test 8
[2024-02-29] [18DF4FB28E7] file:main.cpp line:122 debug:test 9
[2024-02-29] [18DF4FB294C] file:main.cpp line:122 debug:test 10
[2024-02-29] [18DF4FB29B0] file:main.cpp line:122 debug:test 11
[2024-02-29] [18DF4FB2A15] file:main.cpp line:122 debug:test 12
[2024-02-29] [18DF4FB2A7A] file:main.cpp line:122 debug:test 13
[2024-02-29] [18DF4FB2ADF] file:main.cpp line:122 debug:test 14
[2024-02-29] [18DF4FB2B43] file:main.cpp line:122 debug:test 15
[2024-02-29] [18DF4FB2BA8] file:main.cpp line:122 debug:test 16
[2024-02-29] [18DF4FB2C0C] file:main.cpp line:122 debug:test 17
[2024-02-29] [18DF4FB2C71] file:main.cpp line:122 debug:test 18
[2024-02-29] [18DF4FB2CD6] file:main.cpp line:122 debug:test 19
[2024-02-29] [18DF4FB2D3B] file:main.cpp line:122 debug:test 20
[2024-02-29] [18DF4FB2D9F] file:main.cpp line:122 debug:test 21
[2024-02-29] [18DF4FB2E04] file:main.cpp line:122 debug:test 22
[2024-02-29] [18DF4FB2E69] file:main.cpp line:122 debug:test 23
[2024-02-29] [18DF4FB2ECD] file:main.cpp line:122 debug:test 24
[2024-02-29] [18DF4FB3116] file:eth_task.cpp line:23 debug:main_task exit
